title,image_url,link_url,link_type,platform_name,RT,Fav,Total,Type
CATAPULT,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/catapult/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?catapult,play,browser,38,81,119,One-button
MAKE MAZE,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/makemaze/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?makemaze,play,browser,14,40,54,Tap
SQUARE BAR,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/squarebar/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?squarebar,play,browser,36,80,116,One-button
TEETER,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/teeter/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?teeter,play,browser,9,27,36,One-button
REFLECTOR,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/reflector/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?reflector,play,browser,62,169,231,One-button
LIFT UP,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/liftup/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?liftup,play,browser,16,55,71,One-button
RPS,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/rps/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?rps,play,browser,18,49,67,One-button
V BOMB,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/vbomb/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?vbomb,play,browser,14,40,54,One-button
D PISTOLS,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/dpistols/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?dpistols,play,browser,17,33,50,One-button
ORBIT MAN,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/orbitman/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?orbitman,play,browser,25,63,88,One-button
NUMBER BALL,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/numberball/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?numberball,play,browser,70,176,246,One-button
MIRROR FLOOR,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/mirrorfloor/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?mirrorfloor,play,browser,27,80,107,One-button
CROSS LINE,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/crossline/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?crossline,play,browser,19,48,67,Tap
SUB JUMP,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/subjump/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?subjump,play,browser,26,83,109,One-button
